Type [validation category](max length)                TableName.ColumnName
--> ExternalSystemBudgetLinePeriod[]                  BudgetLinePeriod.ExternalSystemBudgetLinePeriods
int                                                   BudgetScenario.BudgetScenarioId
string?                                               BudgetScenario.BudgetScenarioIdExternal
string? [MultilineText](200)                          BudgetScenario.Comment
string [MultilineText](200)                           BudgetScenario.Description
bool                                                  BudgetScenario.IsDefault
bool                                                  BudgetScenario.Sys_Deactivated
bool                                                  BudgetScenario.Sys_Historic
bool                                                  BudgetScenario.Sys_Incomplete
bool                                                  BudgetScenario.Ext_Sys_Deactivated
string                                                BudgetScenario.Ext_ExternalId
string                                                BudgetScenario.Ext_In_Error_MsgNO
string                                                BudgetScenario.Ext_In_Error_MsgEN
string                                                BudgetScenario.Ext_In_Error_TraceId
string                                                BudgetScenario.Ext_In_Error_TechDetail
string                                                BudgetScenario.Ext_In_Error_FixLink
bool                                                  BudgetScenario.Ext_In_Error_SetOK
DateTime                                              BudgetScenario.Ext_In_LastSyncUTC
string                                                BudgetScenario.Ext_Out_Error_MsgNO
string                                                BudgetScenario.Ext_Out_Error_MsgEN
string                                                BudgetScenario.Ext_Out_Error_TraceId
string                                                BudgetScenario.Ext_Out_Error_TechDetail
string                                                BudgetScenario.Ext_Out_Error_FixLink
bool                                                  BudgetScenario.Ext_Out_Error_SetOK
DateTime                                              BudgetScenario.Ext_Out_LastSyncUTC
--> ExternalSystemBudgetScenario[]                    BudgetScenario.ExternalSystemBudgetScenarios
int                                                   Calculation.CalculationId
string?                                               Calculation.OfferIdExternal
string?                                               Calculation.WageCodeReportCategoryIdExternal
int?                                                  Calculation.CalculationNumber
string? [MultilineText](50)                           Calculation.Description
bool                                                  Calculation.IsDefault
int                                                   Calculation.OfferId
bool                                                  Calculation.Sys_Deactivated
bool                                                  Calculation.Sys_Historic
bool                                                  Calculation.Sys_Incomplete
int?                                                  Calculation.WageCodeReportCategoryId
CalculationStatusEnum                                 Calculation.Enum_CalculationStatusId
int                                                   CalculationFolder.CalculationFolderId
